id,brand,model,type,resolution_label,megapixels,sensor,field_of_view_deg,night_vision_type,ip_rating,ik_rating,two_way_audio,release_year,community_notes_count
3xlogic-vx-5m4-md-iaw,3xLOGIC,VX-5M4-MD-IAW,dome,5MP (2592x1944),5,"1/2.8"" 5.14M CMOS (Sony Starvis)","82.3 horizontal, 58.8 vertical, 106.6 diagonal",ir,IP67,IK10,,,0
3xlogic-vx-5m4-ot-iw,3xLOGIC,VX-5M4-OT-IW,turret,5MP,5,"1/2.8"" CMOS",82 horizontal,ir,IP67,IK10,,,0
3xlogic-vx-5m622-mb-riaw,3xLOGIC,VX-5M622-MB-RIAW,bullet,5MP,5,"1/2.8"" 5.17M (STV2) CMOS",16.5 to 39.2 horizontal,ir,IP67,IK10,true,,0
3xlogic-vx-5m650-b-riaw,3xLOGIC,VX-5M650-B-RIAW,bullet,5MP,5,"1/2.8"" 5.14M CMOS",6.9 to 40.8 horizontal,ir,IP67,IK10,,,0
3xlogic-vx-6m-360-iaw,3xLOGIC,VX-6M-360-IAW,fisheye,6MP (2592x1944),6,"1/1.8"" 6.4M CMOS (Sony Starvis)",360 panoramic,ir,IP66,IK09,true,,0
3xlogic-vx-8m-180-iaw,3xLOGIC,VX-8M-180-IAW,panoramic,"8MP (4K, 3840x2160)",8,"1/1.8"" 8M CMOS","180 horizontal, 90 vertical",ir,IP67,,true,,0
3xlogic-vx-8m-od-riaw,3xLOGIC,VX-8M-OD-RIAW,dome,8MP (3840x2160),8,,,ir,IP67,IK10,true,,0
3xlogic-vx-smbk-b-iw,3xLOGIC,VX-SMBK-B-IW,bullet,4MP (2560x1440),4,"1/2.8"" 5.14M CMOS","81.0 horizontal, 43.1 vertical, 95.1 diagonal",ir,IP67,,,,0
3xlogic-vx-smbk-d-iw,3xLOGIC,VX-SMBK-D-IW,dome,4MP (2560x1440),4,"1/2.8"" 5.14M CMOS","81.0 horizontal, 43.1 vertical, 95.1 diagonal",ir,IP67,,,,0
3xlogic-vx-vt,3xLOGIC,VX-VT-56,bullet,Thermal 320x240,1,12 um uncooled Sun-Safe vanadium oxide microbolometer,"56 (VX-VT-56), 35 (VX-VT-35)",none,IP66,,true,,0
3xlogic-vx-vt-56-dual,3xLOGIC,VX-VT-56-DUAL,dual-lens,5MP (2592x1944) visible + 320x240 thermal,5,"SONY Starvis IMX335, 1/2.8"" 5.14M CMOS (visible)","82.3 horizontal, 58.8 vertical (visible)",ir,IP67,IK09,true,,0
abus-hdcc35512,ABUS,HDCC35512,bullet,5MP,5,"1/2.8"" Progressive Scan CMOS","112 horizontal, 60 vertical",hybrid,IP67,,false,,0
abus-hdcc52512,ABUS,HDCC52512,dome,1080p,2,"1/2.8"" Progressive Scan CMOS","105 horizontal, 56 vertical",hybrid,IP67,,true,,0
abus-hdcc75550,ABUS,HDCC75550,dome,5MP,5,"1/2.7\"" Progressive Scan CMOS",92 to 29 horizontal,ir,IP67,,,,0
abus-ipca32500,ABUS,IPCA32500,dome,2MP,2,"1/2.8"" Sony Exmor R STARVIS CMOS",35-96 horizontal,ir,IP24,IK10,true,,0
abus-ipca33500,ABUS,IPCA33500,dome,3MP,3.1,,,ir,,,,,0
abus-ipca34512a,ABUS,IPCA34512A,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS","104 horizontal, 54 vertical",hybrid,IP67,,false,,0
abus-ipca34512b,ABUS,IPCA34512B,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS","89 horizontal, 45 vertical",hybrid,IP67,,false,,0
abus-ipca34612a,ABUS,IPCA34612A,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS","104 horizontal, 54 vertical",hybrid,IP67,,false,,0
abus-ipca52000,ABUS,IPCA52000,box,2MP,2,Sony Exmor CMOS (Sony Xarina DSP),,ir,,,,,0
abus-ipca52010,ABUS,IPCA52010,box,2MP,2,"1/2.8"" Sony Exmor R STARVIS CMOS",,none,IP20,,true,,0
abus-ipca53000,ABUS,IPCA53000,box,3MP,3.1,,,,,,,,0
abus-ipca54512a,ABUS,IPCA54512A,dome,4MP,4,"1/1.8"" Progressive Scan CMOS",110 horizontal / 57 vertical,hybrid,IP67,,false,,0
abus-ipca54512b,ABUS,IPCA54512B,dome,4MP,4,"1/1.8"" Progressive Scan CMOS",95 horizontal,hybrid,IP67,,false,2023,0
abus-ipca54572a,ABUS,IPCA54572A,dome,4MP,4,"1/1.8"" Progressive Scan CMOS",110 horizontal / 57 vertical,hybrid,IP67,,true,,0
abus-ipca54581b,ABUS,IPCA54581B,dual-lens,4MP,4,"1/2.7"" Progressive Scan CMOS","84 horizontal / 43 vertical (optical), 50 horizontal (thermal)",ir,IP66,,true,,0
abus-ipca54612a,ABUS,IPCA54612A,dome,4MP,4,"1/1.8"" Progressive Scan CMOS","110 horizontal, 57 vertical",hybrid,IP67,,false,,0
abus-ipca62510,ABUS,IPCA62510,bullet,2MP,2,"1/2.8"" Sony Exmor R STARVIS CMOS",35 to 90 horizontal,ir,IP67,IK10,true,,0
abus-ipca62515,ABUS,IPCA62515,bullet,2MP,2,"1/2.8"" Sony Exmor R STARVIS CMOS",9 to 70 horizontal,ir,IP67,IK10,true,,0
abus-ipca62520,ABUS,IPCA62520,bullet,2MP,2,,,ir,,,,,0
abus-ipca63500,ABUS,IPCA63500,bullet,3MP,3.1,,,ir,,,,,0
abus-ipca64512a,ABUS,IPCA64512A,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS","104 horizontal, 54 vertical",hybrid,IP67,,,,0
abus-ipca64512b,ABUS,IPCA64512B,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS","89 horizontal, 45 vertical",hybrid,IP67,,false,,0
abus-ipca64581d,ABUS,IPCA64581D,dual-lens,4MP,4,"1/2.7"" Progressive Scan CMOS","39.5 horizontal (visible), 18 horizontal (thermal)",ir,IP67,,true,2022,0
abus-ipca64612a,ABUS,IPCA64612A,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS","104 horizontal, 54 vertical",hybrid,IP67,,false,,0
abus-ipca66500,ABUS,IPCA66500,bullet,6MP,6.3,"1/1.8"" Sony Exmor R STARVIS CMOS",94.5 to 30.5 horizontal,ir,IP67,,,,0
abus-ipca68500,ABUS,IPCA68500,bullet,8MP,8.3,"1/1.8"" Sony Exmor R STARVIS CMOS",48 to 95 horizontal,ir,IP67,IK10,true,,0
abus-ipca72500,ABUS,IPCA72500,dome,2MP,2,Sony Exmor CMOS (Sony Xarina DSP),,ir,,,,,0
abus-ipca72510,ABUS,IPCA72510,dome,2MP,2,"1/2.8"" Sony Exmor R STARVIS CMOS",35 to 90 horizontal,ir,IP66,IK10,true,,0
abus-ipca72515,ABUS,IPCA72515,dome,2MP,2,"1/2.8"" Sony Exmor R STARVIS CMOS",9 to 70 horizontal,ir,IP66,IK10,true,,0
abus-ipca72520,ABUS,IPCA72520,dome,2MP,2,,,ir,,,,,0
abus-ipca73500,ABUS,IPCA73500,dome,3MP,3.1,,,ir,,,,,0
abus-ipca76500,ABUS,IPCA76500,dome,6MP,6.3,,,ir,,,,,0
abus-ipca78500,ABUS,IPCA78500,dome,8MP,8.3,"1/1.8"" Sony Exmor R STARVIS CMOS",48 to 95 horizontal,ir,IP66,IK10,true,,0
abus-ipcb34511a,ABUS,IPCB34511A,bullet,4MP,4,"1/2.7"" Progressive Scan CMOS",103 horizontal,ir,IP67,,false,,0
abus-ipcb34511b,ABUS,IPCB34511B,bullet,4MP,4,"1/2.7"" Progressive Scan CMOS",83 horizontal,ir,IP67,,false,,0
abus-ipcb34611a,ABUS,IPCB34611A,bullet,4MP,4.1,"1/2.7"" Progressive Scan CMOS",103 horizontal,ir,IP67,,false,,0
abus-ipcb38511a,ABUS,IPCB38511A,bullet,4K,8,"1/1.8"" Progressive Scan CMOS","102 horizontal, 55 vertical",ir,IP67,,false,,0
abus-ipcb38511b,ABUS,IPCB38511B,bullet,4K Ultra HD,8,"1/1.8"" Progressive Scan CMOS",78 horizontal / 43 vertical,ir,IP67,,false,,0
abus-ipcb42510a,ABUS,IPCB42510A,dome,2MP (1080p),2,"1/2.8"" Progressive Scan CMOS",108 horizontal,ir,IP66,,,,0
abus-ipcb42510b,ABUS,IPCB42510B,dome,2MP (1080p),2,"1/2.8"" Progressive Scan CMOS",87 horizontal,ir,IP66,,,,0
abus-ipcb42510c,ABUS,IPCB42510C,dome,2MP (1080p),2,"1/2.8"" Progressive Scan CMOS",53 horizontal,ir,IP66,,,,0
abus-ipcb42515a,ABUS,IPCB42515A,dome,2MP (1080p),2,"1/2.8"" Progressive Scan CMOS",108 horizontal / 59 vertical,ir,IP66,IK08,,,0
abus-ipcb44510a,ABUS,IPCB44510A,dome,4MP,4,"1/2.5"" Progressive Scan CMOS",109 horizontal,ir,IP66,IK08,,,0
abus-ipcb44510b,ABUS,IPCB44510B,dome,4MP,4,"1/2.5"" Progressive Scan CMOS",88 horizontal,ir,IP66,IK08,,,0
abus-ipcb44510c,ABUS,IPCB44510C,dome,QHD,4,"1/2.5"" CMOS","53 horizontal, 30 vertical",ir,IP66,IK08,,,0
abus-ipcb44511a,ABUS,IPCB44511A,dome,4MP,4,"1/2.7"" Progressive Scan CMOS",103 horizontal,ir,IP67,IK08,false,,0
abus-ipcb44511b,ABUS,IPCB44511B,dome,4MP,4,"1/2.7"" Progressive Scan CMOS",83 horizontal,ir,IP67,IK08,,,0
abus-ipcb44561a,ABUS,IPCB44561A,dome,4MP,4,"1/2.7"" Progressive Scan CMOS",103 horizontal,ir,IP67,IK08,true,,0
abus-ipcb44611a,ABUS,IPCB44611A,dome,4MP,4,"1/2.7"" Progressive Scan CMOS","103 horizontal, 55 vertical",ir,IP67,IK08,,,0
abus-ipcb44611b,ABUS,IPCB44611B,dome,4MP,4,"1/2.7"" Progressive Scan CMOS",83 horizontal,ir,IP66,,false,,0
abus-ipcb54511a,ABUS,IPCB54511A,dome,4MP,4,"1/2.7"" Progressive Scan CMOS","103 horizontal, 55 vertical",ir,IP67,,false,,0
abus-ipcb54511b,ABUS,IPCB54511B,dome,4MP,4,,83 horizontal,ir,IP67,,false,,0
abus-ipcb54611b,ABUS,IPCB54611B,dome,4MP,4,"1/2.7"" Progressive Scan CMOS",83 horizontal,ir,IP67,,false,,0
abus-ipcb58511a,ABUS,IPCB58511A,dome,4K UHD,8,"1/1.8"" Progressive Scan CMOS",110 horizontal / 59 vertical,ir,IP67,,false,,0
abus-ipcb58511b,ABUS,IPCB58511B,dome,4K,8,"1/1.8"" Progressive Scan CMOS",82 horizontal,ir,IP67,,false,,0
abus-ipcb58611a,ABUS,IPCB58611A,dome,4K,8,"1/1.8"" Progressive Scan CMOS",102 horizontal,ir,IP67,,false,2021,0
abus-ipcb62510a,ABUS,IPCB62510A,bullet,2MP (1080p),2,"1/2.8"" Progressive Scan CMOS",108 horizontal,ir,IP67,,,,0
abus-ipcb62510b,ABUS,IPCB62510B,bullet,2MP (1080p),2,"1/2.8"" Progressive Scan CMOS",87 horizontal / 45 vertical,ir,IP67,,,,0
abus-ipcb62510c,ABUS,IPCB62510C,bullet,2MP (1080p),2,"1/2.8"" Progressive Scan CMOS",53 horizontal,ir,IP67,,,,0
abus-ipcb62515a,ABUS,IPCB62515A,bullet,2MP,2,"1/2.8"" Progressive Scan CMOS",108 horizontal,ir,IP67,,,,0
abus-ipcb62520,ABUS,IPCB62520,bullet,2MP,2,"1/2.8"" Progressive Scan CMOS",35 to 105 horizontal,ir,IP67,IK10,true,,0
abus-ipcb64510a,ABUS,IPCB64510A,bullet,4MP,4,,109 H,ir,IP67,,false,,0
abus-ipcb64510b,ABUS,IPCB64510B,bullet,4MP,4,,,ir,IP67,,false,,0
abus-ipcb64510c,ABUS,IPCB64510C,bullet,4MP,4,,53 H,ir,IP67,,false,,0
abus-ipcb64515b,ABUS,IPCB64515B,bullet,4MP,4,"1/2.5"" Progressive Scan CMOS",88 horizontal,ir,IP67,,,,0
abus-ipcb64520,ABUS,IPCB64520,bullet,4MP,4,"1/2.5"" Progressive Scan CMOS",32 to 114 horizontal,ir,IP67,IK10,true,,0
abus-ipcb64521,ABUS,IPCB64521,bullet,4MP,4,"1/2.7"" Progressive Scan CMOS",30 to 108 horizontal,ir,IP67,IK10,false,,0
abus-ipcb64620,ABUS,IPCB64620,bullet,4MP,4,"1/2.5"" progressive CMOS",32-114 H,ir,IP67,IK10,true,,0
abus-ipcb64621,ABUS,IPCB64621,bullet,4 MPx,4,"1/2.7"" Progressive Scan CMOS",108 to 30 horizontal / 56 to 17 vertical,ir,IP67,IK10,true,,0
abus-ipcb68510a,ABUS,IPCB68510A,bullet,8MP (4K),8,"1/2.5"" Progressive Scan CMOS",102 horizontal,ir,IP67,,,,0
abus-ipcb68510b,ABUS,IPCB68510B,bullet,8MP (4K),8,"1/2.5"" Progressive Scan CMOS",79 horizontal,ir,IP67,,,,0
abus-ipcb68510c,ABUS,IPCB68510C,bullet,8MP (4K),8,"1/2.5"" Progressive Scan CMOS",50 horizontal,ir,IP67,,,,0
abus-ipcb68515a,ABUS,IPCB68515A,bullet,4K/8MP,8,"1/2.5"" progressive CMOS",102 H,ir,IP67,IK10,false,,0
abus-ipcb68520,ABUS,IPCB68520,bullet,8MP,8.3,"1/2.5"" Progressive Scan CMOS",35 to 115 horizontal,ir,IP67,IK10,true,,0
abus-ipcb68521,ABUS,IPCB68521,bullet,4K,8,"1/1.8"" CMOS",46-108 horizontal / 26-58 vertical,ir,IP67,IK10,false,,0
abus-ipcb68621,ABUS,IPCB68621,bullet,4K Ultra HD,8,"1/1.8"" Progressive Scan CMOS",46 to 108 horizontal,ir,IP67,IK10,true,2021,0
abus-ipcb72515a,ABUS,IPCB72515A,dome,2MP (1080p),2,"1/2.8"" Progressive Scan CMOS",108 horizontal,ir,IP67,IK10,,,0
abus-ipcb72520,ABUS,IPCB72520,dome,2MP,2,"1/2.8"" Progressive Scan CMOS",35 to 105 horizontal,ir,IP67,IK10,true,,0
abus-ipcb74515b,ABUS,IPCB74515B,dome,4MP,4,"1/2.5"" Progressive Scan CMOS",88 horizontal / 46 vertical,ir,IP67,IK10,,,0
abus-ipcb74520,ABUS,IPCB74520,dome,4MP,4,"1/2.5"" Progressive Scan CMOS",32 to 114 horizontal,ir,IP67,IK10,true,,0
abus-ipcb74521,ABUS,IPCB74521,dome,4MP,4,"1/2.7"" Progressive Scan CMOS",30 to 108 horizontal,ir,IP67,IK10,false,,0
abus-ipcb74615b,ABUS,IPCB74615B,dome,4MP,4,,,ir,,,,,0
abus-ipcb78515a,ABUS,IPCB78515A,dome,8MP (4K),8,"1/2.5"" Progressive Scan CMOS",102 horizontal,ir,IP67,IK10,,,0
abus-ipcb78520,ABUS,IPCB78520,dome,8MP,8.3,"1/2.5"" Progressive Scan CMOS",35 to 115 horizontal,ir,IP67,IK10,true,,0
abus-ipcb78521,ABUS,IPCB78521,dome,4K,8,"1/1.8"" Progressive Scan CMOS",108 to 45 horizontal / 58 to 26 vertical,ir,IP67,IK10,true,,0
abus-ipcb78615a,ABUS,IPCB78615A,dome,8MP,8.3,,,ir,,,,,0
abus-ipcs24500,ABUS,IPCS24500,fisheye,12MP,12,"1/1.7"" progressive CMOS",360,ir,IP66,IK10,true,,0
abus-ipcs28581a,ABUS,IPCS28581A,panoramic,4K,8,"2 x 1/1.8"" Progressive Scan CMOS","180 horizontal, 44 vertical",color,IP67,,true,,0
abus-ipcs29511,ABUS,IPCS29511,fisheye,12MP,12,,360 horizontal,,IP66,,true,,0
abus-ipcs29512,ABUS,IPCS29512,fisheye,12MP,12.3,"1/1.7"" Progressive Scan CMOS",360 horizontal,ir,IP67,IK10,true,,0
abus-ipcs34511a,ABUS,IPCS34511A,bullet,4MP,4,,108 H,color,IP67,,false,,0
abus-ipcs34511b,ABUS,IPCS34511B,bullet,4MP,4,,95 H,color,IP67,,false,,0
abus-ipcs34611a,ABUS,IPCS34611A,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS",108 horizontal,color,IP67,,,,0
abus-ipcs54511a,ABUS,IPCS54511A,dome,4MP,4,"1/1.8"" Progressive Scan CMOS",108 horizontal,hybrid,IP67,,,,0
abus-ipcs54511b,ABUS,IPCS54511B,dome,4MP,4,"1/1.8"" Progressive Scan CMOS",95 horizontal,color,IP67,,,,0
abus-ipcs54611a,ABUS,IPCS54611A,dome,4MP,4,"1/1.8"" Progressive Scan CMOS",108 horizontal / 55 vertical,color,IP67,,,,0
abus-ipcs58571a,ABUS,IPCS58571A,dome,4K,8,"1/1.8"" Progressive Scan CMOS",111 horizontal,ir,IP67,,true,,0
abus-ipcs62120,ABUS,IPCS62120,bullet,2MP,2,"1/1.8"" Progressive Scan CMOS",32 to 92 horizontal,ir,IP67,,true,,0
abus-ipcs64511a,ABUS,IPCS64511A,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS",108 horizontal,color,IP67,,,2023,0
abus-ipcs64511b,ABUS,IPCS64511B,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS",95 horizontal,color,IP67,,,2023,0
abus-ipcs64531,ABUS,IPCS64531,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS",114 to 42 horizontal,ir,IP67,IK10,true,,0
abus-ipcs64541,ABUS,IPCS64541,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS",2.8 to 56 horizontal,hybrid,IP67,IK10,true,,0
abus-ipcs64611a,ABUS,IPCS64611A,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS",108 horizontal,color,IP67,,,,0
abus-ipcs74511a,ABUS,IPCS74511A,dome,4MP,4,,101 horizontal,ir,IP67,IK10,,2025,0
abus-ipcs82500,ABUS,IPCS82500,ptz,2MP,2,"1/2.8"" Progressive Scan CMOS",3.2 to 58.3 horizontal,ir,IP66,,true,,0
abus-ipcs82520,ABUS,IPCS82520,ptz,2MP,2,"1/1.9"" Progressive Scan CMOS",3.0 to 59.8 horizontal,ir,IP66,IK10,true,,0
abus-ipcs82530,ABUS,IPCS82530,ptz,2MP,2,"1/1.9"" Progressive Scan CMOS",2.0 to 59.0 horizontal,ir,IP66,IK10,true,,0
abus-ipcs83500,ABUS,IPCS83500,ptz,3MP,3.1,"1/3"" Progressive Scan CMOS",3.7 to 61.0 horizontal,ir,IP66,IK10,true,,0
abus-ipcs84510,ABUS,IPCS84510,ptz,4MP,4,"1/3"" Progressive Scan CMOS",31.6 to 96.7 horizontal,ir,IP66,IK10,true,,0
abus-ipcs84511,ABUS,IPCS84511,ptz,4MP,4,"1/2.8"" Progressive Scan CMOS",31.6 to 96.7 horizontal,ir,IP66,IK10,true,,0
abus-ipcs84530,ABUS,IPCS84530,ptz,4MP,4,"1/2.5"" Progressive Scan CMOS",2.5 to 57.6 horizontal,ir,IP66,,true,,0
abus-ipcs84531,ABUS,IPCS84531,ptz,4MP,4,"1/2.8"" Progressive Scan CMOS",2.5 to 53 horizontal,ir,IP66,,,,0
abus-ipcs84532,ABUS,IPCS84532,ptz,4MP,4,"1/2.8"" Progressive Scan CMOS",2.5 to 53 horizontal,ir,IP66,,true,,0
abus-ipcs84550,ABUS,IPCS84550,ptz,4MP,4,"1/2.8"" Progressive Scan CMOS",2.0 to 54.3 horizontal,ir,IP66,,true,,0
abus-ipcs84551,ABUS,IPCS84551,ptz,4MP,4,"1/1.8"" Progressive Scan CMOS",51 to 2.6 horizontal,ir,IP66,IK10,true,,0
abus-ppic31020,ABUS,PPIC31020,box,Full HD (1080p),2,"1/2.8"" CMOS",180 horizontal / 100 vertical,ir,,,true,,0
abus-ppic42520,ABUS,PPIC42520,ptz,Full HD (1080p),2,"1/2.8"" CMOS",355 pan / 90 tilt,ir,IP66,,true,2023,0
abus-ppic42520b,ABUS,PPIC42520B,ptz,Full HD (1080p),2,"1/2.8"" CMOS",355 pan / 90 tilt,ir,IP66,,true,,0
abus-ppic44520,ABUS,PPIC44520,bullet,Full HD (1080p),2,"1/2.7"" CMOS",100 horizontal,ir,IP66,,true,2023,0
abus-ppic46520,ABUS,PPIC46520,floodlight,2K,2,"1/2.8"" CMOS",110 horizontal,hybrid,IP66,,true,2022,0
abus-ppic46520w,ABUS,PPIC46520W,floodlight,2K,2,"1/2.8"" CMOS",110 horizontal,hybrid,IP66,,true,,0
abus-ppic52520,ABUS,PPIC52520,ptz,2 MP (4K-interpolated recording),2,"1/2.8"" CMOS",85 horizontal / 45 vertical,ir,IP66,,true,,0
abus-ppic52520b,ABUS,PPIC52520B,ptz,2 MP (4K-interpolated recording),2,"1/2.8"" CMOS",85 horizontal / 45 vertical,ir,IP66,,true,,0
abus-ppic54520,ABUS,PPIC54520,box,2 MP (4K-interpolated recording),2,"1/2.8"" CMOS",85 horizontal / 45 vertical,ir,IP66,,false,,0
abus-ppic54520b,ABUS,PPIC54520B,box,2 MP (4K-interpolated recording),2,"1/2.8"" CMOS",85 horizontal / 45 vertical,ir,IP66,,false,,0
abus-ppic90520,ABUS,PPIC90520,bullet,1080p HD,2,"1/2.8"" CMOS (Sony IMX307)",115 horizontal / 75 vertical,color,IP65,,true,2023,0
abus-ppic91000,ABUS,PPIC91000,bullet,3 MP,3,,120 horizontal,color,IP65,,true,,0
abus-ppic91520,ABUS,PPIC91520,bullet,3MP,3,Sony IMX307,120 H,color,IP65,,true,,0
abus-tvcc32512,ABUS,TVCC32512,bullet,2MP,2,CMOS,"101 horizontal, 56 vertical",hybrid,IP67,,false,,0
abus-tvcc35512,ABUS,TVCC35512,bullet,5MP,5,CMOS,105 horizontal / 67 vertical,hybrid,IP67,,false,,0
abus-tvcc52512,ABUS,TVCC52512,dome,2MP,2,CMOS,"101 horizontal, 56 vertical",hybrid,IP67,,false,,0
abus-tvcc55512,ABUS,TVCC55512,dome,5MP,5,CMOS,"105 horizontal, 67 vertical",hybrid,IP67,,,,0
abus-tvip42510,ABUS,TVIP42510,dome,1080p,2,"1/2.7"" CMOS",111 horizontal / 59 vertical,ir,IP67,,,,0
abus-tvip42520,ABUS,TVIP42520,dome,1080p HD,2,"1/2.8"" CMOS",103-30 horizontal,ir,IP67,,false,2021,0
abus-tvip42562,ABUS,TVIP42562,dome,1080p,2,"1/2.8"" Progressive Scan CMOS",111 diagonal,ir,IP66,,true,,0
abus-tvip44510,ABUS,TVIP44510,dome,1440p,4,"1/3"" CMOS",98 horizontal,ir,IP67,IK10,false,2020,0
abus-tvip44511,ABUS,TVIP44511,dome,4MP,4,"1/3"" Progressive Scan CMOS","103 horizontal, 55 vertical",ir,IP67,IK10,false,,0
abus-tvip48511,ABUS,TVIP48511,dome,4K,8,"1/2.8"" CMOS",107 horizontal / 57 vertical,ir,IP67,IK10,false,2022,0
abus-tvip62510,ABUS,TVIP62510,bullet,1080p,2,"1/2.8"" Progressive Scan CMOS","111 horizontal, 59 vertical",ir,IP67,,,,0
abus-tvip62562,ABUS,TVIP62562,bullet,1080p,2,"1/2.8"" Progressive Scan CMOS","107 horizontal, 57 vertical",ir,IP66,,true,2022,0
